customerID,DOB,Gender,State,PinCode,transactionDate,store_code,store_description,till_no,transaction_number_by_till,promo_code,promotion_description,product_code,product_description,sale_price_after_promo,discountUsed
BBID_204277,1986-05-02,male,TAMILNADU,625016,2015-12-27,4986,BB-MADURAI-KOCHADAI VILLAGE,11,47836,0001066428,SZ 15 % OFF STAPLES ASSORTED TN,108001161,GH WHO SPICE DRY METHI 100g,23.8,Payback
BBID_204295,1977-10-10,male,TAMILNADU,600041,2015-12-12,4986,BB-MADURAI-KOCHADAI VILLAGE,13,16411,0001054778,STN 10 RS OFF ASSORTED FB TN,108017906,WIPRO DET LIQUID SAFEWASH 2*500ml,150,Payback
BBID_204322,1962-01-07,male,TAMILNADU,600093,2016-01-08,4986,BB-MADURAI-KOCHADAI VILLAGE,1,14527,0001072310,AZ SHOP 3000 & GET 300 RS OFF PAYBACK CR,1000258675,Srishti bag floraljal 38 x 36.8cmNavy,188.92,Payback
BBID_204334,1980-05-09,male,TAMILNADU,641025,2015-05-01,4986,BB-MADURAI-KOCHADAI VILLAGE,13,36412,0000869304,STN 10% OFF CONCEPT DISCOUNT 4986,300158262,SUNFEAST CRM BISC BOUNCE CHOCO 50g,9,Payback
BBID_204354,1993-03-05,male,,999999,2016-10-01,4986,BB-MADURAI-KOCHADAI VILLAGE,8,98889,0001188959,"HO B1@15%,2@20%,4@25% OFF SEATING REG AZ",1000218054001,"GNG NP SLEEPER CHAIR 39x55x55, RED, NA",296.65,Payback
BBID_204354,1993-03-05,male,,999999,2016-10-01,4986,BB-MADURAI-KOCHADAI VILLAGE,8,98888,NONPROMO,,108004629,GH DAILY RAVA/SUJI 1Kg,46,Payback
BBID_204360,1984-07-29,male,MAHARASHTRA,425001,2016-10-15,2906,BB-INDORE-TREASURE ISLAND,18,13032,0001188261,HO 50 %OFF SHOES & SANDAL-C-SYN REG AZ,1000200229014,"SS16-CSSNSYN-C224-NA, 8, DARK GREY",299.5,Payback
BBID_204395,1979-05-25,male,,999999,2016-07-09,4986,BB-MADURAI-KOCHADAI VILLAGE,16,35477,0001152512,HO 50 RS OFF BODY LOTIONS/OILS REG AZ EX,1000391224,HIMALAYA BODY LTN ALOE&CUCUMBER 400ml,200,Payback
BBID_204439,1986-07-23,,MAHARASHTRA,411027,2017-06-23,2655,BB-INDORE-MALHAR MEGA MALL,6,35313,NONPROMO,,1000109064,DEL MONTE MAYONNAISE THICK&CREAMY 900g,175,Payback
BBID_204446,1972-06-01,,,450331,2016-11-27,2655,BB-INDORE-MALHAR MEGA MALL,2,57394,0001213128,IZ 30 %DIS REG Double Blanket,830010604003,"IMP-AW15-DBL Mink 2.2 Kg, DSN-03, NA",1257.48,Payback
BBID_204451,1977-07-20,female,TAMILNADU,627007,2016-11-13,4986,BB-MADURAI-KOCHADAI VILLAGE,6,88989,NONPROMO,,300142841,SURIYAN CHIKKI PEANUT BIG 200G,60,Payback
BBID_204455,1970-12-10,male,KARNATAKA,575004,2015-09-26,4986,BB-MADURAI-KOCHADAI VILLAGE,11,21461,NONPROMO,,1000091208,BRITANNIA CAKE NUT&RAISIN PP 150g,50,Payback
BBID_204461,1969-01-07,male,KARNATAKA,574105,2016-06-30,2906,BB-INDORE-TREASURE ISLAND,20,2499,NONPROMO,,300047282,PONDS TALC DREAM FLOWER PINK 100G,69,Payback
BBID_204603,1982-06-18,male,GUJARAT,390008,2015-10-10,2655,BB-INDORE-MALHAR MEGA MALL,12,9311,NONPROMO,,301018395,GANGWAL ECONOMIC ATTA PP 1Kg,58,Payback
BBID_204609,1987-09-08,male,MADHYA PRADESH,462039,2016-08-12,2655,BB-INDORE-MALHAR MEGA MALL,6,74056,NONPROMO,,300481742,MAGGI NDL CUPPA CHILI CHOW 70g,40,Payback
BBID_204610,1992-05-13,male,GUJARAT,390002,2016-10-15,2655,BB-INDORE-MALHAR MEGA MALL,2,42897,0001196762,AZ 40 %DIS REG FOOTWEAR,1000249761004,"Sunsh, BITTER CHOCOLATE/VIBRANT ORANG, 9",299.4,Payback
BBID_204620,1988-08-17,male,MAHARASHTRA,411015,2016-05-22,2655,BB-INDORE-MALHAR MEGA MALL,12,38830,0001112981,"AZ 2@99,4@179,6@259 FLAT GLASS TUMBLER",1000474761,CHANELLI Regular Glass Mug 350ml,259,Payback
BBID_204707,1967-09-17,female,,999999,2017-05-09,2906,BB-INDORE-TREASURE ISLAND,14,54186,NONPROMO,,1000438421014,"DJWS-0160-CRSHORTS-B-WSF-TW-S, 40, STONE",599,Payback
BBID_204710,1978-07-12,male,,999999,2016-09-14,2906,BB-INDORE-TREASURE ISLAND,6,17669,NONPROMO,,108018123,420 PAPAD GS SADA 400G,119,Payback
BBID_204712,1993-03-07,female,,999999,2017-02-05,2906,BB-INDORE-TREASURE ISLAND,11,47036,NONPROMO,,300776410,BB-CB-20X25X208SWG NEW,5,Payback
BBID_204717,1948-10-23,female,MADHYA PRADESH,452001,2016-06-02,2906,BB-INDORE-TREASURE ISLAND,7,7465,NONPROMO,,108100207,MANGO TOTAPURI,51.92,Payback
BBID_204717,1948-10-23,female,MADHYA PRADESH,452001,2017-06-01,2906,BB-INDORE-TREASURE ISLAND,8,57880,NONPROMO,,108004590,SUNRICH SUNFLOWER OIL PP 1L,258,Payback
BBID_204735,1971-04-18,male,,999999,2016-06-01,2906,BB-INDORE-TREASURE ISLAND,9,7820,NONPROMO,,300863237,MCCAIN FRZN SNK POTATO CHEESE SHOTZ 250g,115,Payback
BBID_204741,1989-02-20,male,MADHYA PRADESH,452007,2017-05-28,2906,BB-INDORE-TREASURE ISLAND,7,67223,0001293877,AZ TS2000 GET 250 RS OFF REG GOING3 Casu,1000680710002,"NYSH-4171-499SH39-A-FS-SF-STR, 40, BLUE",464.3,Payback
BBID_204755,1964-02-10,male,,999999,2017-01-16,2655,BB-INDORE-MALHAR MEGA MALL,11,75870,NONPROMO,,108100277,BEETROOT PKD,15.48,Payback
BBID_204765,1969-12-22,male,,999999,2016-11-17,2906,BB-INDORE-TREASURE ISLAND,4,36511,0001204289,IZ 10 RS OFF REG INSTANT NOODLES,1000638606,SUNFEAST NDL YIPPEE POWERUP MASALA 280g,45,Payback
BBID_204859,1986-08-28,female,MADHYA PRADESH,452006,2016-11-14,2655,BB-INDORE-MALHAR MEGA MALL,2,53181,NONPROMO,,108029256,NESCAFE COFFEE CLASSIC JR 25g,70,Payback
BBID_204891,1967-09-23,male,MADHYA PRADESH,452010,2015-11-03,2655,BB-INDORE-MALHAR MEGA MALL,4,18925,NONPROMO,,108032496,SAFAL PEAS GREEN PEAS 200G,45,Payback
BBID_204891,1967-09-23,male,MADHYA PRADESH,452010,2015-11-03,2655,BB-INDORE-MALHAR MEGA MALL,4,18925,0001041645,"AZ 1@10,2@30 RS OFF Frozen Veg Snacks FB",300658528,MCCAIN FROZ VEG SNACK SMILES 175g,50,Payback
BBID_204900,1981-05-21,female,MADHYA PRADESH,452014,2016-10-24,2906,BB-INDORE-TREASURE ISLAND,1,20335,NONPROMO,,300776411,BB-CB-27X30X208SWG NEW,14,Payback
BBID_204910,1940-07-31,male,MADHYA PRADESH,452001,2017-03-13,2655,BB-INDORE-MALHAR MEGA MALL,4,36751,NONPROMO,,1000446187,PATANJALI MANGO DRINK 1L,50,Payback
BBID_204951,1971-09-14,male,MADHYA PRADESH,452001,2017-03-05,2655,BB-INDORE-MALHAR MEGA MALL,8,78224,NONPROMO,,300776411,BB-CB-27X30X208SWG NEW,14,Payback
BBID_204957,1985-02-13,male,,999999,2016-04-27,2906,BB-INDORE-TREASURE ISLAND,19,156,NONPROMO,,108020365,BRITANNIA BISC 50 50 78g/100g,0,Payback
BBID_204964,1992-02-06,male,,485185,2015-12-21,2655,BB-INDORE-MALHAR MEGA MALL,12,19827,NONPROMO,,300785148,BB-CB-20X25X168SWG-Suitable for ROI New,4,Payback
BBID_204971,1965-01-24,male,MADHYA PRADESH,452008,2017-05-24,2655,BB-INDORE-MALHAR MEGA MALL,10,77856,0001292414,NZ B1G1 @100 %DIS REG Coriander/Dhania P,300934698,GH POW SPICE CORIANDER PP 100g,0,Payback
BBID_204975,1990-04-26,male,MADHYA PRADESH,452001,2016-09-07,2906,BB-INDORE-TREASURE ISLAND,10,20861,NONPROMO,,1000535743,Elegant Basket Mini,149,Payback
BBID_204984,1968-04-19,male,,999999,2016-07-10,2655,BB-INDORE-MALHAR MEGA MALL,7,50115,NONPROMO,,108100183,KIWI GREEN LOOSE,114,Payback
BBID_2041004,1977-06-22,,MADHYA PRADESH,452001,2016-02-28,2655,BB-INDORE-MALHAR MEGA MALL,16,15272,NONPROMO,,108020344,BOURNVITA HEALTH DRINK PP 500g,200,Payback
BBID_2041004,1977-06-22,,MADHYA PRADESH,452001,2016-11-05,2906,BB-INDORE-TREASURE ISLAND,4,33543,NONPROMO,,300091863,PH GROUNDNUT 500g,97,Payback
BBID_2041010,1963-03-04,female,MADHYA PRADESH,452001,2017-05-05,2906,BB-INDORE-TREASURE ISLAND,4,96225,NONPROMO,,1000109366,BRITANNIA 50-50 MASKA CHASKA 4*120g OP,100,Payback
BBID_2041049,1972-12-30,male,MADHYA PRADESH,452010,2016-06-25,2906,BB-INDORE-TREASURE ISLAND,14,2927,0001150106,AZ 60% OFF+VAT MENS FASHION EOSS LIQ EXC,1000443619003,"KHSH-4166-270-A-HS-CX, 42-SF, RED",461.58,Payback
BBID_2041050,1975-07-02,female,MADHYA PRADESH,454775,2015-12-31,2655,BB-INDORE-MALHAR MEGA MALL,10,20315,NONPROMO,,108100127,FB FR APPLE KINNAUR LARGE,150.12,Payback
BBID_2041069,1980-07-25,male,,999999,2017-04-12,2655,BB-INDORE-MALHAR MEGA MALL,2,2726,NONPROMO,,108004055,AMUL DESI GHEE TP 1L,450,Payback
BBID_2041082,1990-06-03,female,MADHYA PRADESH,452001,2017-01-10,2906,BB-INDORE-TREASURE ISLAND,19,50795,0001229031,IZ 30 %DIS REG FOOTWEAR,830013843009,"SS16-MSL-M777-AFL, 43, GREY",279.3,Payback
BBID_2041113,1992-12-15,male,MADHYA PRADESH,452001,2016-10-14,2906,BB-INDORE-TREASURE ISLAND,6,22371,NONPROMO,,108015133,SURF EXCEL DET BAR 4*200G,264,Payback
BBID_2041165,1981-01-06,male,,999999,2016-07-11,2906,BB-INDORE-TREASURE ISLAND,15,8490,NONPROMO,,108029656,NUTRELA SOYA CHUNKS BX 200g,40,Payback
BBID_2041210,1974-03-15,female,,999999,2017-03-05,2655,BB-INDORE-MALHAR MEGA MALL,7,88733,NONPROMO,,300111517,POTATO LOOSE,24.98,Payback
BBID_2041210,1974-03-15,female,,999999,2017-03-23,2655,BB-INDORE-MALHAR MEGA MALL,7,91275,NONPROMO,,108100294,Carrot English Loose,49.38,Payback
BBID_2041210,1974-03-15,female,,999999,2016-03-03,2655,BB-INDORE-MALHAR MEGA MALL,4,38564,NONPROMO,,108100330,BITTER GOURD LOOSE,54.45,Payback
BBID_2041210,1974-03-15,female,,999999,2015-12-31,2655,BB-INDORE-MALHAR MEGA MALL,10,20365,0001069382,NZ 5% OFF ASSORTED,108040056,CATCH POW SPICE DRY MANGO BX 100g,62.7,Payback
BBID_2041210,1974-03-15,female,,999999,2016-09-18,2655,BB-INDORE-MALHAR MEGA MALL,5,55198,NONPROMO,,108004399,GH DAILY MAIDA 500g,20,Payback
BBID_2041215,1969-03-30,male,MADHYA PRADESH,452001,2016-01-09,2655,BB-INDORE-MALHAR MEGA MALL,9,23418,NONPROMO,,108019975,BIKANO NAMKEEN KAJU MIX 200G,65,Payback
BBID_2041224,1976-04-14,female,,999999,2016-03-14,2655,BB-INDORE-MALHAR MEGA MALL,2,70563,NONPROMO,,100105102,ORANGE NAGPUR LOOSE,35.49,Payback
BBID_2041232,1974-09-21,male,MADHYA PRADESH,452001,2017-06-10,2655,BB-INDORE-MALHAR MEGA MALL,2,23487,NONPROMO,,108037537,RICE KALI MUCH LOOSE,266.25,Payback
BBID_2041248,1971-03-14,male,MADHYA PRADESH,453441,2015-12-05,2655,BB-INDORE-MALHAR MEGA MALL,12,17742,NONPROMO,,300785150,BB-CB-27X30X168SWG-Suitable for ROI New,6,Payback
BBID_2041254,1980-09-30,female,MADHYA PRADESH,452001,2016-09-20,2655,BB-INDORE-MALHAR MEGA MALL,6,79977,NONPROMO,,1000541353,WB-4513 Y Shape Peeler,99,Payback
BBID_2041254,1980-09-30,female,MADHYA PRADESH,452001,2016-09-25,2655,BB-INDORE-MALHAR MEGA MALL,5,56233,NONPROMO,,300705601,AMBIPUR CAR START KIT VANILA BOQ+REF 7ML,280,Payback
BBID_2041291,1974-12-30,male,MADHYA PRADESH,452001,2016-08-12,2655,BB-INDORE-MALHAR MEGA MALL,4,82867,0001165339,HO 40 RS OFF COOKING PASTA REG AZ EX,300535523,DEL MONTE PASTA SPIRALI 500g,145,Payback
BBID_2041303,1948-09-09,male,,999999,2015-11-05,2655,BB-INDORE-MALHAR MEGA MALL,8,13143,0001039150,AZ 15 % OFF SOUTH INDIAN MIXES VISTEX,108028900,MTR SNACKMIX RAVA IDLI PP 500g,63.75,Payback
BBID_2041312,1986-01-04,male,MADHYA PRADESH,452001,2016-01-25,2655,BB-INDORE-MALHAR MEGA MALL,6,33761,NONPROMO,,108004592,SUNRICH SUNFLOWER OIL JR 15L,5012,Payback
BBID_2041341,1972-10-06,female,,452011,2017-06-18,2906,BB-INDORE-TREASURE ISLAND,4,12219,NONPROMO,,300360644,APPLE GOLDEN INDIAN LOOSE,121.64,Payback
BBID_2041341,1972-10-06,female,,452011,2016-11-19,2906,BB-INDORE-TREASURE ISLAND,4,36975,NONPROMO,,108100331,BOTTLE GOURD LONG,8.4,Payback
BBID_2041352,1990-10-26,female,,999999,2016-10-18,2906,BB-INDORE-TREASURE ISLAND,3,31643,NONPROMO,,300776409,BB-CB-16X20X208SWG NEW,3,Payback
BBID_2041364,1988-11-02,,MADHYA PRADESH,456010,2016-04-24,2655,BB-INDORE-MALHAR MEGA MALL,4,52148,NONPROMO,,108100382,TOMATO LOOSE,17.71,Payback
BBID_2041376,1972-03-03,male,,999999,2017-03-13,2655,BB-INDORE-MALHAR MEGA MALL,4,36793,NONPROMO,,108000537,POHA THICK LOOSE,80.68,Payback
BBID_2041378,1971-07-31,male,MADHYA PRADESH,452001,2017-04-09,2655,BB-INDORE-MALHAR MEGA MALL,2,1551,0001275747,AZ Shop Rs 750 & Get 200 RS OFF CMS,108037568,SUGAR MEDIUM LOOSE,147.92,Payback
BBID_2041398,1958-08-04,male,MADHYA PRADESH,455001,2017-04-29,2655,BB-INDORE-MALHAR MEGA MALL,4,50223,NONPROMO,,108100382,TOMATO LOOSE,8.48,Payback
BBID_2041400,1959-01-09,male,MADHYA PRADESH,452010,2016-01-31,2655,BB-INDORE-MALHAR MEGA MALL,2,55759,0001087868,NZ 30 RS OFF DETERGENT POWDERS/SOAPS,300980417,GODREJ SOAP FAIR GLOW 6*75g,69,Payback
BBID_2041404,1977-05-21,male,MADHYA PRADESH,452018,2015-11-15,2655,BB-INDORE-MALHAR MEGA MALL,6,18898,NONPROMO,,300963413,GODREJ EXPERT HRCLR DARK BRWN 4.06,30,Payback
BBID_2041442,1957-07-11,male,MADHYA PRADESH,452006,2016-09-21,2655,BB-INDORE-MALHAR MEGA MALL,7,61758,0001177877,"AZ B2@599,3@799 FLAT LADIES ETHN REG EXC",1000135637136,"LECB-0010-01-A-45-KC-PL-AL, XL, WHITE",266.34,Payback
BBID_2041445,1964-12-08,female,MADHYA PRADESH,452016,2016-03-24,2655,BB-INDORE-MALHAR MEGA MALL,4,43994,5030,Ex300,300519306,420 NI MIX SNACK MUNG BHAJIA 200g,52.9,Payback
BBID_2041463,1986-07-11,female,,352003,2016-06-27,2906,BB-INDORE-TREASURE ISLAND,3,13132,NONPROMO,,1000446611,PATANJALI TOOTHBRUSH ACTIVE CARE,20,Payback
BBID_2041468,1982-02-27,female,MADHYA PRADESH,452007,2016-12-25,2906,BB-INDORE-TREASURE ISLAND,7,45805,0001225163,IZ 25 %DIS HNIS Jars/Storage,1000086571,Click n lock no- 5,153.75,Payback
BBID_2041478,1940-08-21,male,MADHYA PRADESH,456010,2016-12-12,2655,BB-INDORE-MALHAR MEGA MALL,7,75005,0001215629,IZ 5 RS OFF REG INSTANT NOODLES,1000118006,NISSIN NOODLES VEGGI MANCHOW CUP 70g,35,Payback
BBID_2041486,1979-12-09,female,MADHYA PRADESH,452011,2017-04-29,2655,BB-INDORE-MALHAR MEGA MALL,6,23957,NONPROMO,,301018442,GANGWAL RAVA PP 500g,44,Payback
BBID_2041531,1959-08-22,male,,452002,2017-01-25,2655,BB-INDORE-MALHAR MEGA MALL,8,72049,NONPROMO,,1000309642,AGRIPURE SOYABEAN OIL REFINED PP 1L,2736,Payback
BBID_2041537,1954-12-31,male,MADHYA PRADESH,452016,2015-09-25,2655,BB-INDORE-MALHAR MEGA MALL,13,6375,NONPROMO,,300066478,AMUL KOOL MILK KOKO BTL 200M,22,Payback
BBID_2041543,1976-04-30,female,MADHYA PRADESH,452001,2015-08-28,2655,BB-INDORE-MALHAR MEGA MALL,13,3611,NONPROMO,,300963294,KURKURE SNK MASALA MUNCH 155g,60,Payback
BBID_2041546,1982-06-27,male,,999999,2015-12-05,2655,BB-INDORE-MALHAR MEGA MALL,3,15157,NONPROMO,,1000144843,Rocky Stool No 3 RATTEN-Brown,349,Payback
BBID_2041548,1977-08-08,male,MADHYA PRADESH,452001,2016-12-18,2655,BB-INDORE-MALHAR MEGA MALL,2,62531,NONPROMO,,1000662770,Kiddie Currency Rs 100,0.01,Payback
BBID_2041557,1983-07-17,male,,326530,2017-05-20,2906,BB-INDORE-TREASURE ISLAND,19,76902,0001286089,IZ B1G1 @100 %DIS REG Water Bottle,1000684416,Bond Fridge Bottle,138,Payback
BBID_2041567,1976-12-20,male,MADHYA PRADESH,452001,2016-12-26,2906,BB-INDORE-TREASURE ISLAND,4,50150,NONPROMO,,108100296,CAULIFLOWER,14,Payback
BBID_2041575,1952-09-30,male,,999999,2016-09-01,2906,BB-INDORE-TREASURE ISLAND,4,17092,NONPROMO,,108020477,BRITANNIA CAKE CHOCOLATE 50g,15,Payback
BBID_2041578,1976-04-01,male,,456010,2016-08-27,2906,BB-INDORE-TREASURE ISLAND,12,17397,NONPROMO,,1000506208,SOFRSH TRF PANEER MALAI 200g,60,Payback
BBID_2041578,1976-04-01,male,,456010,2016-08-13,2655,BB-INDORE-MALHAR MEGA MALL,11,54041,0001166050,ADN BUY1@5 BUY2@15 RS OFF HPC BD NZ EX,108017245,VIM UTENSL BAR 3*200g,81,Payback
BBID_2041582,1954-11-13,female,,999999,2015-08-07,2655,BB-INDORE-MALHAR MEGA MALL,11,258,NONPROMO,,300035667,MAGGI KETCHUP TOMATO 500g,55,Payback
BBID_2041583,1970-06-29,male,MADHYA PRADESH,452001,2016-02-07,2655,BB-INDORE-MALHAR MEGA MALL,4,31976,NONPROMO,,108016186,SURF DET POW EXCEL EASY WASH 700g,154,Payback
BBID_2041586,1971-03-21,female,MADHYA PRADESH,452001,2017-03-27,2906,BB-INDORE-TREASURE ISLAND,14,45128,NONPROMO,,530006453,BB SIS FNC MART PERFUME,489,Payback
BBID_2041610,1965-03-22,male,,999999,2016-01-01,2655,BB-INDORE-MALHAR MEGA MALL,6,28646,0001072310,AZ SHOP 3000 & GET 300 RS OFF PAYBACK CR,1000001320,SURF DET LIQUIED EXCEL 2X BT 1050ml,218.64,Payback
BBID_2041663,1966-03-16,male,MADHYA PRADESH,452001,2016-05-03,2906,BB-INDORE-TREASURE ISLAND,9,1708,0001130767,"MDHO B1@10,B2@30 RS OFF Liquid Concntrts",108032209,ROOH AFZA SHARBAT 750ml,115,Payback
BBID_2041665,1987-12-28,female,MADHYA PRADESH,452001,2016-12-13,2906,BB-INDORE-TREASURE ISLAND,8,30572,NONPROMO,,300926795,KURKURE SNK PUFFCORN YUMMY CHEESE PP 36g,10,Payback
BBID_2041667,1978-07-24,male,MADHYA PRADESH,452001,2015-08-29,2655,BB-INDORE-MALHAR MEGA MALL,13,3765,NONPROMO,,1000186357,KALORY BREAD OVEN FRESH 600g,35,Payback
BBID_2041676,1948-09-01,female,MADHYA PRADESH,452001,2015-08-26,2655,BB-INDORE-MALHAR MEGA MALL,5,3975,NONPROMO,,108100331,BOTTLE GOURD LONG,23.01,Payback
BBID_2041680,1964-10-19,female,MADHYA PRADESH,452013,2016-12-11,2906,BB-INDORE-TREASURE ISLAND,7,43026,NONPROMO,,108100306,CORIANDER,7.38,Payback
BBID_2041684,1970-12-02,female,MADHYA PRADESH,452010,2017-01-26,2655,BB-INDORE-MALHAR MEGA MALL,15,34885,NONPROMO,,300980132,CYCLE AGARBATHI 3 IN 1 BX 280g,125,Payback
BBID_2041686,1983-04-12,female,MADHYA PRADESH,452010,2017-03-12,2655,BB-INDORE-MALHAR MEGA MALL,2,91787,NONPROMO,,1000531391,SOFRSH VD COOKIES VANILLA TB 200G,85,Payback
BBID_2041701,1978-02-19,female,MADHYA PRADESH,452001,2016-09-15,2906,BB-INDORE-TREASURE ISLAND,18,10049,NONPROMO,,1000446492,PATANJALI NAMKEEN MOONG DALL 200g,52,Payback
BBID_2041716,1990-03-31,male,,999999,2016-01-01,2655,BB-INDORE-MALHAR MEGA MALL,9,22038,NONPROMO,,108005676,TATA SALT PP 1Kg,17.5,Payback
BBID_2041735,1990-06-04,male,,999999,2017-06-09,2906,BB-INDORE-TREASURE ISLAND,11,59650,0001294889,"IZ  1@20,3@33 %DIS REG Fruit Based Juice",300599199,TTRT FRUIT BASED MANGO 2L,55.55,Payback
BBID_2041740,1984-12-01,male,MADHYA PRADESH,452001,2016-01-12,2655,BB-INDORE-MALHAR MEGA MALL,6,30955,NONPROMO,,108000518,GH KURMURA ROASTED 500g,34,Payback
BBID_2041749,1970-10-02,male,,999999,2016-08-07,2906,BB-INDORE-TREASURE ISLAND,5,19473,NONPROMO,,108005676,TATA SALT PP 1Kg,34,Payback
BBID_2041797,1964-10-10,male,,999999,2016-04-26,2655,BB-INDORE-MALHAR MEGA MALL,6,52657,NONPROMO,,108100306,CORIANDER,5.85,Payback
BBID_2041801,1973-12-30,male,MADHYA PRADESH,452005,2015-10-18,2655,BB-INDORE-MALHAR MEGA MALL,7,10446,NONPROMO,,300785148,BB-CB-20X25X168SWG-Suitable for ROI New,4,Payback
BBID_2041805,1985-07-09,male,MADHYA PRADESH,452001,2017-01-14,2655,BB-INDORE-MALHAR MEGA MALL,13,54173,NONPROMO,,1000088418,PATANJALI HW ANTI BACTER HRBL PUMP 250ml,55,Payback
BBID_2041811,1984-06-06,male,MADHYA PRADESH,452001,2016-01-24,2655,BB-INDORE-MALHAR MEGA MALL,13,22805,0001079552,"JB B1@5,2@15 RS OFF Detergent Bars HPC",300942704,RIN DET BAR 4*250g,109,Payback
BBID_2041817,1969-03-04,female,MADHYA PRADESH,452018,2017-04-14,2655,BB-INDORE-MALHAR MEGA MALL,4,45865,4130,Ex1300,300335590,Message/Heart Mugs,112.78,Payback
BBID_2041835,1986-08-21,male,MADHYA PRADESH,453331,2016-02-06,2655,BB-INDORE-MALHAR MEGA MALL,2,57810,NONPROMO,,300646053,EKTAA MOONG DAL 1k,137.5,Payback
BBID_2041873,1990-09-19,male,MADHYA PRADESH,452001,2017-04-03,2655,BB-INDORE-MALHAR MEGA MALL,2,99375,NONPROMO,,300970616,SMINT MINT FLAVOUR SF 6.4g 9,40,Payback
BBID_2041918,1977-09-20,male,MADHYA PRADESH,452001,2015-12-24,2655,BB-INDORE-MALHAR MEGA MALL,8,20822,NONPROMO,,300785147,BB-CB-16X20X168SWG-Suitable for ROI New,2,Payback
BBID_2041942,1951-09-11,female,MADHYA PRADESH,452016,2016-10-02,2906,BB-INDORE-TREASURE ISLAND,14,18401,NONPROMO,,1000609658,F'16 FstiveDlghtCrd,0.01,Payback
BBID_2041951,1972-03-03,male,MADHYA PRADESH,452010,2017-02-06,2655,BB-INDORE-MALHAR MEGA MALL,2,80029,NONPROMO,,1000218533,DESI ATTA MAKKI/MAIZE ATTA PP 500g,33,Payback
BBID_2041951,1972-03-03,male,MADHYA PRADESH,452010,2015-12-02,2655,BB-INDORE-MALHAR MEGA MALL,5,18358,NONPROMO,,300236012,VANISH STAIN REM OXY 400ml,170,Payback
BBID_2041967,1986-12-25,female,MADHYA PRADESH,452001,2017-03-10,2655,BB-INDORE-MALHAR MEGA MALL,2,91212,NONPROMO,,300160178,LINC GLYCER BP BK 5Pcs,160,Payback
BBID_2041988,1978-06-08,male,MADHYA PRADESH,452010,2015-10-02,2655,BB-INDORE-MALHAR MEGA MALL,8,8491,0000996082,AZ B2@299 KIDS ASSORTED AOP AZ EXC,1000157061019,"PBTS-0150-CREW NECK-A-RF-H, 5-6, SCARLET",139.5,Payback
BBID_2042009,1961-09-16,female,,999999,2017-05-26,2655,BB-INDORE-MALHAR MEGA MALL,7,99019,NONPROMO,,300455123,ODONIL TLT FRSH BLK MIX CP 75g 3+1,192,Payback
